Band,Min,Max,Mean,StdDev
B02,0,30178,604.0362922977304,815.6430075599009
B05,0,20919,992.5267017150483,1112.271475073691
B04,0,20962,756.5981578792241,959.1730800238104
B03,0,24322,735.3805691508506,890.6055521599959
B12,0,15255,1228.9292722037837,1376.6363045509963
B11,0,15909,1717.444701149613,1739.0636783906994
B8A,0,16921,2080.419862725335,2076.9075899524487
B07,0,17747,1945.8046813432454,1954.7775381611007
B09,0,22243,2129.0562717474004,2169.1670432142687
B08,0,17880,2013.8155027765679,2002.9371136582233
B06,0,18606,1642.2528557057985,1630.483508829829
B01,0,35651,546.5484103329413,783.5824291945794
