Band,Min,Max,Mean,StdDev
soc150,57.0,9997.0,6893.495534171224,1840.7668796475075
soc999,57.0,9997.0,7104.9703147234895,1897.6798069670476
nccpi3corn,0.001,0.991,0.6941035519910865,0.2182191084603459
pctearthmc,0,100,86.96032751826955,14.135757099628329
rootznaws,0,750,248.6187876547375,72.25618588393341
aws100,1.5,477.63,174.52088074418526,40.654386217751586
nccpi3soy,0.001,0.981,0.6286020878367312,0.2266574288130145
aws999,2.27,951.03,304.7353674400854,91.74259520868316
aws150,2.24,714.03,250.22797291588077,64.36880286815969
nccpi3all,0.001,0.991,0.7146141658461025,0.21282228960926175
